.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Hungarian defined by Microsoft
;
.LANGID 0x40e

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Ismeretlen típus
0x4800	Kemping
0x4900	Park
0x4a00	Pihenőhely
0x4b00	Elsősegély állomás
0x4c00	Információ
0x4d00	Parkoló
0x4e00	WC
0x4f00	Zuhanyozó
0x5000	Ivóvíz
0x5100	Telefon
0x5200	Kilátóhely
0x5300	Síterület
0x5400	Uszó terület
0x5500	Vízlépcső

; Aviation
0x5600	Ellenőrzött terület
0x5700	Veszélyes terület
0x5800	Korlátozott terület
0x5900	Repülőtér
0x5901	Nagy repülőtér
0x5902	Közepes repülőtér
0x5903	Kis repülőtér
0x5904	Helikopter leszállóhely
0x5905	Repülőtér

0x5a00	Mérföldkő
0x5b00	Harang
0x5c00	Búvár terület
0x5d00	Tenger jelzés, Zöld négyzet
0x5e00	Tenger jelzés, Vörös háromszög
0x6000	Kürt
0x6100	Ház

0x6200	Különleges mélységi pont
0x6300	Különleges magassági pont

; Man-made features
0x6400	Ember alkotta tereptárgy
0x6401	Híd
0x6402	Épület
0x6403	Temető
0x6404	Templom
0x6405	Polgári
0x6406	Kereszteződés
0x6407	Vízlépcső
0x6408	Kórház
0x6409	Gát
;0x640a	
0x640b	Katonai
0x640c	Bánya
0x640d	Olajmező
0x640e	Park
0x640f	Posta
0x6410	Iskola
0x6411	Torony
0x6412	Ösvény kezdete
0x6413	Alagút
0x6414	Forrás
0x6415	Történelmi (szellem) város
;0x6416	

; Water features
0x6500	Víz jellemzői
;0x6501	
0x6502	Homokpad
0x6503	Öböl
0x6504	Hajlat/kanyar
;0x6505
;0x6506
0x6507	Kis öböl
0x6508	Vízesés
0x6509	Gejzír
0x650a	Gleccser
0x650b	Kikötő
0x650c	Sziget
0x650d	Tó
0x650e	Zúgó
0x650f	Víztározó
0x6510	Tenger
0x6511	Forrás
0x6512	Patak
0x6513	Mocsár

; Land features
0x6600	Szárazföld jellemzői
;0x6601	
;0x6602	
;0x6603	
0x6604	Tengerpart
;0x6605	
0x6606	Partfok
;0x6607
0x6608	Kráter
0x6609	Sík
0x660a	Erdő
;0x660b	
;0x660c	
0x660d	Földnyelv
0x660e	Láva
0x660f	Oszlop
0x6610	Síkság
;0x6611	
0x6612	Rezervátum
;0x6613	
0x6614	Szikla
0x6615	Lejtő
0x6616	Hegycsúcs
0x6617	Völgy
0x6618	Fás terület

;========================================================================================

.POLYLINE

0x00	Út

; Three levels of highways
0x01	Autópálya
0x02	Fő autóút
0x03	Más autóút

; Most important kind of street
0x04	Főút
; Medium important kind of street
0x05	Kollektor út
; Ordinary street (80%)
0x06	Utca
; Smallest kind of street
0x07	Bekötőút/magánút

0x08	Autópálya rámpa, lassú
0x09	Autópálya rámpa, gyors
0x0a	Burkolatlan út
0x0b	Nagyobb autópálya összekötő
0x0c	Körforgalom
0x16	Gyalogút/ösvény
0x14	Vasút
0x1a	Komp
0x1b	Komp

0x19	Időzóna
0x1e	Nemzetközi határ
0x1c	Régió/tartomány határ
0x1d	Megye határ

0x15	Partvonal
0x18	Patak/Vízfolyás
0x1f	Folyó
0x26	Időszakos folyó/csatorna

0x20	Kis szintvonal (1/10)
0x21	Közepes szintvonal (1/2)
0x22	Nagy szintvonal (1/1)
0x23	Kis mélységvonal (1/10)
0x24	Közepes mélységvonal (1/2)
0x25	Nagy mélységvonal (1/1)

0x27	Kifutópálya középvonal
0x28	Olaj vagy víz vezeték
0x29	Távvezeték

0x2a	Tengeri határ
0x2b	Tengeri veszély

;========================================================================================

.POLYGON

0x01	Nagy lakott terület (>200K)
0x02	Kis lakott terület (<200K)
0x03	Vidéki ház a területen

0x04	Katonai támaszpont
0x05	Parkoló
0x06	Parkoló garázs
0x07	Repülőtér
0x08	Bevásárló központ
0x09	Kikötő
0x0a	Egyetem/Főiskola
0x0b	Kórház
0x0c	Ipari komplexum
0x0d	Természetvédelmi terület
0x0e	Repülőtéri kifutópálya
0x13	Épület
0x18	Golfpálya
0x19	Sportkomplexum
0x1a	Temető

0x14	Nemzeti park
0x15	Nemzeti park
0x16	Nemzeti park
0x17	Városi park
0x1e	Állami park
0x1f	Állami park
0x20	Állami park

0x28	Tenger/Óceán
0x32	Tenger
0x3c	Nagy tó, 250-600 km²
0x3d	Nagy tó, 77-250 km²
0x3e	Közepes tó, 25-77 km²
0x3f	Közepes tó, 11-25 km²
0x40	Kis tó, 0.25-11 km²
0x41	Kis tó, kisebb mint 0.25 km²
0x42	Beltenger, nagyobb mint 3300 km²
0x43	Beltenger, 1100-3300 km²
