.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Arabic (Saudi Arabia) defined by Microsoft
;
.LANGID 0x401

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	نوع غير معروف
0x4100	موقع صيد أسماك
0x4200	حطام
0x4300	مارينا
0x4400	محطة وقود
0x4500	مطعم
0x4600	بار
0x4700	رصيف قارب
0x4800	تخييم
0x4900	حديقة
0x4a00	منطقة للتنزه
0x4b00	مركز إسعافات أولية
0x4c00	معلومات
0x4d00	موقف سيارات
0x4e00	دورة مياه
0x4f00	دش
0x5000	مياه شرب
0x5100	هاتف
0x5200	منطقة سياحية
0x5300	منطقة التزلج
0x5400	منطقة سباحة
0x5500	سد

; Aviation
0x5600	منطقة سيطرة
0x5700	منطقة الخطر
0x5800	منطقة محظورة
0x5900	مطار
0x5901	مطار كبير
0x5902	مطار متوسط
0x5903	مطار صغير
0x5904	مطار للطائرات المودية
0x5905	مطار

0x5a00	علامة الميل
0x5b00	جرس
0x5c00	منطقة غطس
0x5d00	يوما ، مربع أخضر
0x5e00	يوما ، مثلث أحمر
0x6000	بوق
0x6100	منزل

0x6200	موضع عمق
0x6300	موضع ارتفاع

; Man-made features
0x6400	مكان من صنع الإنسان
0x6401	جسر
0x6402	مبنى
0x6403	مقبرة
0x6404	كنيسة/مسجد/إلخ
0x6405	مبنى حضاري
0x6406	عبور
0x6407	سد
0x6408	مستشفى
0x6409	سدود
0x640a	موقع خاص
0x640b	عسكري
0x640c	منجم
0x640d	حقل نفط
0x640e	حديقة
0x640f	مكتب بريد
0x6410	مدرسة
0x6411	برج
0x6412	ممر مشاة
0x6413	نفق
0x6414	بئر
0x6415	مدينة أشباح
0x6416	سكن

; Water features
0x6500	معلم مياه
0x6501	مسيل ماء جاف
0x6502	جرف رملي
0x6503	خليج
0x6504	انحناء
0x6505	قناة
0x6506	مضيق
0x6507	خور
0x6508	شلال
0x6509	حمة
0x650a	نهر جليدي
0x650b	مرفأ
0x650c	جزيرة
0x650d	بحيرة
0x650e	منحدر النهر
0x650f	خزان مياه
0x6510	بحر
0x6511	نبع
0x6512	جدول
0x6513	مستنقع

; Land features
0x6600	معلم يابسة
0x6601	قوس
0x6602	المساحة
0x6603	حوض
0x6604	شاطئ
0x6605	منبسط مرتفع
0x6606	الرأس
0x6607	جرف
0x6608	حفرة
0x6609	سطح
0x660a	غابة
0x660b	أخدود
0x660c	ممر ضيق
0x660d	برزخ
0x660e	حمم بركانية
0x660f	عمود
0x6610	سهل
0x6611	سلسلة جلية
0x6612	محمية
0x6613	سلسلة تلال مرتفعة
0x6614	صخرة
0x6615	منحدر
0x6616	قمة
0x6617	وادي
0x6618	منطقة غابات

;========================================================================================

.POLYLINE

0x00	طريق

; Three levels of highways
0x01	طريق رئيسي هام
0x02	طريق رئيسي
0x03	طريق رئيسي آخر

; Most important kind of street
0x04	شارع رئيسي
; Medium important kind of street
0x05	طريق مجمع
; Ordinary street (80%)
0x06	طريق سكني مرصوف
; Smallest kind of street
0x07	زقاق بين البنايات

0x08	طريق رئيسي منحدر، سرعة بطيئة
0x09	طريق رئيسي منحدر، سرعة عالية
0x0a	طريق غير مرصوف
0x0b	طريق رئيسي هام...
0x0c	دوار
0x16	ممر مشاة
0x14	سكة حديد
0x1a	عبارة مياه أو سكة حديدية
0x1b	عبارة مياه أو سكة حديدية

0x19	منطقة التوقيت
0x1e	حدود دولية
0x1c	حدود الولاية/المقاطعة
0x1d	إقليم/ حدود...

0x15	حافة مسطح مائي
0x18	جدول
0x1f	نهر
0x26	جدول متقطع/أخدود

0x20	نطاق أرض ثانوي
0x21	نطاق أض متوسط
0x22	نطاق أرض رئيسي
0x23	نطاق أرض منخفض العمق
0x24	نطاق أرض متوسط العمق
0x25	نطاق أرض عميق

0x27	خط منتصف مدرج المطار
0x28	أنبوب نفط أو مياه
0x29	خط كهرباء

0x2a	حدود بحرية
0x2b	مخاطر بحرية

;========================================================================================

.POLYGON

0x01	منطقة حضرية كبيرة
0x02	منطقة حضرية صغيرة
0x03	منطقة سكنية ريفية

0x04	قاعدة عسكرية
0x05	موقف سيارات
0x06	مبنى مواقف سيارات
0x07	مطار
0x08	مركز تسوق
0x09	مارينا
0x0a	جامعة/كلية
0x0b	مستشفى
0x0c	مجمع صناعي
0x0d	الحجز
0x0e	مدرج المطار
0x13	منطقة من صنع الإنسان
0x18	ملعب غولف
0x19	مجمع رياضي
0x1a	مقبرة

0x14	متنزه قومي
0x15	متنزه قومي
0x16	متنزه قومي
0x17	متنزه المدينة
0x1e	متنزه عام
0x1f	متنزه عام
0x20	متنزه عام

0x28	بحر/محيط
0x32	بحر
0x3c	بحيرة كبيرة، 250-600 كم2
0x3d	بحيرة كبيرة، 77-250 كم2
0x3e	بحيرة متوسطة، 25-77 كم2
0x3f	بحيرة متوسطة، 11-25 كم2
0x40	بحيرة صغيرة، 0.25-11 كم2
0x41	بحيرة صغيرة، أقل من 0.25 كم2
