.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Romanian defined by Microsoft
;
.LANGID 0x418

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Tip necunoscut
0x5900	Aeroport
0x5901	Aeroport mare
0x5902	Aeroport mediu
0x5903	Aeroport mic
0x5904	Heliport
0x5905	Aeroport

0x5a00	Bornă km
0x5b00	Clopot
0x5c00	Loc pentru scufundări
0x5d00	Semn, pătrat verde
0x5e00	Semn, triunghi roşu
0x6000	Sirenă
0x6100	Casă

0x6200	Marcaj adâncime
0x6300	Marcaj altitudine

; Man-made features
0x6400	Construcţie
0x6401	Pod
0x6402	Clădire
0x6403	Cimitir
0x6404	Biserică/moschee/etc
0x6405	Constructii civile
0x6406	Trecere
0x6407	Dig
0x6408	Spital
0x6409	Dig/chei
0x640a	Indicator
0x640b	Obiect militar
0x640c	Mină
0x640d	Teren petrolier
0x640e	Parc
0x640f	Oficiu poştal
0x6410	Şcoală
0x6411	Turn
0x6412	Cărare
0x6413	Tunel
0x6414	Fântână/izvor
0x6415	Oraş abandonat/vechime
0x6416	Anexă construcţie

; Water features
0x6500	Obiect hidrografic
0x6501	Arroyo, secat
0x6502	Banc de nisip
0x6503	Golf
0x6504	Meandru
0x6505	Canal
0x6506	Strâmtoare
0x6507	Golf mic
0x6508	Cascadă
0x6509	Gheizer
0x650a	Gheţar
0x650b	Rada portului
0x650c	Insulă
0x650d	Lac
0x650e	Praguri
0x650f	Bazin de apă
0x6510	Mare
0x6511	Izvor
0x6512	Pârău
0x6513	Mlaştină

; Land features
0x6600	Obiect al naturii terestru
0x6601	Arcă
0x6602	Arie/regiune
0x6603	Adâncitură
0x6604	Mal
0x6605	Prag
0x6606	Cap
0x6607	Stâncă abruptă
0x6608	Crater
0x6609	Platou
0x660a	Pădure
0x660b	Prăpastie
0x660c	Trecere îngustă
0x660d	Istm
0x660e	Lavă
0x660f	Stâlp
0x6610	Câmpie
0x6611	Lanţ
0x6612	Rezervaţie naturală
0x6613	Catenă muntoasă
0x6614	Stâncă
0x6615	Pantă
0x6616	Vârf
0x6617	Vale
0x6618	Zonă împădurită

;========================================================================================

.POLYLINE

0x00	Drum

; Three levels of highways
0x01	Magistrale auto
0x02	Drumuri naţionale
0x03	Drumuri secundare

; Most important kind of street
0x04	Artere principale urbane
; Medium important kind of street
0x05	Colector rutier
; Ordinary street (80%)
0x06	Străzi
; Smallest kind of street
0x07	Stradelă

