.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Latvian defined by Microsoft
;
.LANGID 0x426

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Nezināms tips
0x2f15	Komunālie pakalpojumi
0x2f16	Kravas automobiļu stāvvieta
0x2f17	Tranzīta pakalpojumi

0x3000	Neatliekamā palīdzība/valsts iestādes
0x3001	Policijas iecirknis
0x3002	Slimnīca
0x3003	Rātsnams
0x3004	Tiesas ēka
0x3005	Sabiedriskais centrs
0x3006	Robežpunkts
0x3007	Valsts iestāde
0x3008	Ugunsdzēsēju depo

0x4000	Golfs
0x4100	Zvejas vieta
0x4200	Vraks
0x4300	Jahtu piestātne
0x4400	Degvielas uzpildes stacija
0x4500	Restorāns
0x4600	Bārs
0x4700	Laivu piestātne
0x4800	Kempings
0x4900	Parks
0x4a00	Piknika vieta
0x4b00	Pirmās palīdzības stacija
0x4c00	Informācija
0x4d00	Autostāvvieta
0x4e00	Labierīcības
0x4f00	Duša
0x5000	Dzeramais ūdens
0x5100	Tālrunis
0x5200	Skaista ainava
0x5300	Slēpošana
0x5400	Peldvieta
0x5500	Dambis

; Aviation
0x5600	Apsargāta teritorija
0x5700	Bīstama teritorija
0x5800	Norobežota teritorija
0x5900	Lidosta
0x5901	Liela lidosta
0x5902	Vidēja lidosta
0x5903	Maza lidosta
0x5904	Helikopteru lidlauks
0x5905	Lidosta

0x5a00	Attāluma ceļazīme
0x5b00	Zvans
0x5c00	Niršanas vieta
0x5d00	Dienas zīme, zaļš kvadrāts
0x5e00	Dienas zīme, sarkans trīsstūris
0x6000	Sirēna
0x6100	Ēka

0x6200	Dziļuma atzīme
0x6300	Augstuma atzīme

; Man-made features
0x6400	Mākslīgi radīta vieta
0x6401	Tilts
0x6402	Ēka
0x6403	Kapsēta
0x6404	Baznīca/mošeja/utt.
;0x6405	
0x6406	Pāreja
0x6407	Dambis
0x6408	Slimnīca
0x6409	Aizsprosts
0x640a	Rādītājs
0x640b	Militārs objekts
0x640c	Raktuve
0x640d	Naftas atradnes
0x640e	Parks
0x640f	Pasta nodaļa
0x6410	Skola
0x6411	Tornis
0x6412	Takas sākums
0x6413	Tunelis
0x6414	Aka
0x6415	Vēsturiska (pamesta) pilsēta
0x6416	Piebūve

; Water features
0x6500	Ūdens objekts
0x6501	Strauta gultne
0x6502	Smilšu sēklis
0x6503	Līcis
0x6504	Līkums
0x6505	Kanāls
0x6506	Jūras šaurums
0x6507	Neliels līcis
0x6508	Ūdenskritums
0x6509	Geizers
0x650a	Šļūdonis
0x650b	Osta
0x650c	Sala
0x650d	Ezers
0x650e	Krāces
0x650f	Rezervuārs
0x6510	Jūra
0x6511	Avots
0x6512	Strauts
0x6513	Purvs
